approxkl,value_loss,clipfrac,explained_variance,n_updates,time_elapsed,policy_loss,fps,serial_timesteps,policy_entropy,total_timesteps
nan,nan,0.0,nan,306,117.39404702186584,nan,380,39168,nan,39168
nan,nan,0.0,nan,307,117.73177909851074,nan,428,39296,nan,39296
nan,nan,0.0,nan,308,118.03116226196289,nan,362,39424,nan,39424
nan,nan,0.0,nan,309,118.38525009155273,nan,423,39552,nan,39552
nan,nan,0.0,nan,310,118.68895602226257,nan,395,39680,nan,39680
nan,nan,0.0,nan,311,119.013512134552,nan,420,39808,nan,39808
nan,nan,0.0,nan,312,119.31932497024536,nan,310,39936,nan,39936
nan,nan,0.0,nan,313,119.73350620269775,nan,391,40064,nan,40064
nan,nan,0.0,nan,314,120.06140613555908,nan,410,40192,nan,40192
nan,nan,0.0,nan,315,120.37482714653015,nan,426,40320,nan,40320
nan,nan,0.0,nan,316,120.67630910873413,nan,386,40448,nan,40448
nan,nan,0.0,nan,317,121.00856804847717,nan,431,40576,nan,40576
nan,nan,0.0,nan,318,121.30628728866577,nan,403,40704,nan,40704
nan,nan,0.0,nan,319,121.62444114685059,nan,390,40832,nan,40832
nan,nan,0.0,nan,320,121.95443725585938,nan,438,40960,nan,40960
nan,nan,0.0,nan,321,122.24720430374146,nan,385,41088,nan,41088
nan,nan,0.0,nan,322,122.58098793029785,nan,434,41216,nan,41216
nan,nan,0.0,nan,323,122.87691020965576,nan,423,41344,nan,41344
nan,nan,0.0,nan,324,123.18021821975708,nan,473,41472,nan,41472
nan,nan,0.0,nan,325,123.4521701335907,nan,431,41600,nan,41600
nan,nan,0.0,nan,326,123.74952721595764,nan,421,41728,nan,41728
nan,nan,0.0,nan,327,124.05427098274231,nan,429,41856,nan,41856
nan,nan,0.0,nan,328,124.35385704040527,nan,344,41984,nan,41984
nan,nan,0.0,nan,329,124.72644114494324,nan,390,42112,nan,42112
nan,nan,0.0,nan,330,125.05684113502502,nan,406,42240,nan,42240
nan,nan,0.0,nan,331,125.37351202964783,nan,362,42368,nan,42368
nan,nan,0.0,nan,332,125.72753429412842,nan,372,42496,nan,42496
nan,nan,0.0,nan,333,126.07190728187561,nan,448,42624,nan,42624
nan,nan,0.0,nan,334,126.35806226730347,nan,437,42752,nan,42752
nan,nan,0.0,nan,335,126.65170407295227,nan,443,42880,nan,42880
nan,nan,0.0,nan,336,126.9413731098175,nan,313,43008,nan,43008
nan,nan,0.0,nan,337,127.35077929496765,nan,419,43136,nan,43136
nan,nan,0.0,nan,338,127.65722608566284,nan,364,43264,nan,43264
nan,nan,0.0,nan,339,128.0095660686493,nan,393,43392,nan,43392
nan,nan,0.0,nan,340,128.3363800048828,nan,440,43520,nan,43520
nan,nan,0.0,nan,341,128.62816905975342,nan,419,43648,nan,43648
nan,nan,0.0,nan,342,128.9342041015625,nan,443,43776,nan,43776
nan,nan,0.0,nan,343,129.223974943161,nan,446,43904,nan,43904
nan,nan,0.0,nan,344,129.51136422157288,nan,441,44032,nan,44032
nan,nan,0.0,nan,345,129.80289220809937,nan,344,44160,nan,44160
nan,nan,0.0,nan,346,130.1754331588745,nan,437,44288,nan,44288
nan,nan,0.0,nan,347,130.4695439338684,nan,437,44416,nan,44416
nan,nan,0.0,nan,348,130.76315021514893,nan,403,44544,nan,44544
nan,nan,0.0,nan,349,131.08132410049438,nan,301,44672,nan,44672
nan,nan,0.0,nan,350,131.50772213935852,nan,268,44800,nan,44800
nan,nan,0.0,nan,351,131.9848918914795,nan,337,44928,nan,44928
nan,nan,0.0,nan,352,132.36612010002136,nan,320,45056,nan,45056
nan,nan,0.0,nan,353,132.76714706420898,nan,385,45184,nan,45184
nan,nan,0.0,nan,354,133.10167717933655,nan,386,45312,nan,45312
nan,nan,0.0,nan,355,133.43383932113647,nan,357,45440,nan,45440
nan,nan,0.0,nan,356,133.79367208480835,nan,337,45568,nan,45568
nan,nan,0.0,nan,357,134.17466926574707,nan,378,45696,nan,45696
nan,nan,0.0,nan,358,134.5145971775055,nan,380,45824,nan,45824
nan,nan,0.0,nan,359,134.8525321483612,nan,354,45952,nan,45952
